index_name,index_key,csv_path,mirror_file,on_mirror,family,members_at_harvest
Nifty 100,IDX:NIFTY100,ind_nifty100list.csv,ind_nifty100list.csv,yes,broad,100
Nifty 200,IDX:NIFTY200,ind_nifty200list.csv,ind_nifty200list.csv,yes,broad,200
Nifty 50,IDX:NIFTY50,ind_nifty50list.csv,ind_nifty50list.csv,yes,broad,50
Nifty 500,IDX:NIFTY500,ind_nifty500list.csv,ind_nifty500list.csv,yes,broad,500
Nifty Alpha 50,IDX:NIFTYALPHA50,ind_nifty_Alpha_Index.csv,ind_nifty_Alpha_Index.csv,yes,strategy,50
NIFTY Alpha Low-Volatility 30,IDX:NIFTYALPHALOW-VOLATILITY30,ind_nifty_alpha_lowvol30list.csv,ind_nifty_alpha_lowvol30list.csv,yes,strategy,30
NIFTY Alpha Quality Low-Volatility 30,IDX:NIFTYALPHAQUALITYLOW-VOLATILITY30,ind_nifty_alpha_quality_lowvol30list.csv,ind_nifty_alpha_quality_lowvol30list.csv,yes,strategy,30
NIFTY Alpha Quality Value Low-Volatility 30,IDX:NIFTYALPHAQUALITYVALUELOW-VOLATILITY30,ind_nifty_alpha_quality_value_lowvol30list.csv,ind_nifty_alpha_quality_value_lowvol30list.csv,yes,strategy,30
Nifty Auto,IDX:NIFTYAUTO,ind_niftyautolist.csv,ind_niftyautolist.csv,yes,sectoral,15
Nifty Bank,IDX:NIFTYBANK,ind_niftybanklist.csv,ind_niftybanklist.csv,yes,sectoral,14
Nifty Capital Goods,IDX:NIFTYCAPITALGOODS,ind_niftyCapitalGoods_list.csv,ind_niftyCapitalGoods_list.csv,no,sectoral,50
Nifty Capital Markets,IDX:NIFTYCAPITALMARKETS,ind_niftyCapitalMarkets_list.csv,ind_niftyCapitalMarkets_list.csv,yes,thematic,17
Nifty Cement,IDX:NIFTYCEMENT,ind_NiftyCement_list.csv,ind_NiftyCement_list.csv,no,sectoral,16
Nifty Chemicals,IDX:NIFTYCHEMICALS,ind_niftyChemicals_list.csv,ind_niftyChemicals_list.csv,no,sectoral,20
Nifty Commercial & Transport Services,IDX:NIFTYCOMMERCIAL&TRANSPORTSERVICES,ind_niftyCommercialTransportServices_list.csv,ind_niftyCommercialTransportServices_list.csv,no,sectoral,26
Nifty Commodities,IDX:NIFTYCOMMODITIES,ind_niftycommoditieslist.csv,ind_niftycommoditieslist.csv,yes,thematic,30
Nifty Conglomerate 50,IDX:NIFTYCONGLOMERATE50,ind_niftyConglomerate50_list.csv,ind_niftyConglomerate50_list.csv,yes,thematic,50
Nifty Construction,IDX:NIFTYCONSTRUCTION,ind_niftyConstruction_list.csv,ind_niftyConstruction_list.csv,no,sectoral,23
Nifty Consumer Durables,IDX:NIFTYCONSUMERDURABLES,ind_niftyconsumerdurableslist.csv,ind_niftyconsumerdurableslist.csv,yes,sectoral,13
Nifty Consumer Services,IDX:NIFTYCONSUMERSERVICES,ind_niftyConsumerServices_list.csv,ind_niftyConsumerServices_list.csv,no,sectoral,46
Nifty Core Housing,IDX:NIFTYCOREHOUSING,ind_niftyCoreHousing_list.csv,ind_niftyCoreHousing_list.csv,yes,thematic,30
Nifty CPSE,IDX:NIFTYCPSE,ind_niftycpselist.csv,ind_niftycpselist.csv,yes,thematic,11
Nifty Dividend Opportunities 50,IDX:NIFTYDIVIDENDOPPORTUNITIES50,ind_niftydivopp50list.csv,ind_niftydivopp50list.csv,yes,strategy,50
Nifty Energy,IDX:NIFTYENERGY,ind_niftyenergylist.csv,ind_niftyenergylist.csv,yes,thematic,40
Nifty EV & New Age Automotive,IDX:NIFTYEV&NEWAGEAUTOMOTIVE,/Index_Statistics/ind_niftyEv_NewAgeAutomotive_list.csv,ind_niftyEv_NewAgeAutomotive_list.csv,yes,thematic,33
Nifty Financial Services,IDX:NIFTYFINANCIALSERVICES,ind_niftyfinancelist.csv,ind_niftyfinancelist.csv,yes,sectoral,20
Nifty Financial Services 25/50,IDX:NIFTYFINANCIALSERVICES25/50,ind_niftyfinancialservices25-50list.csv,ind_niftyfinancialservices25-50list.csv,yes,sectoral,20
Nifty Financial Services Ex-Bank,IDX:NIFTYFINANCIALSERVICESEX-BANK,ind_niftyfinancialservicesexbank_list.csv,ind_niftyfinancialservicesexbank_list.csv,yes,sectoral,30
Nifty FMCG,IDX:NIFTYFMCG,ind_niftyfmcglist.csv,ind_niftyfmcglist.csv,yes,sectoral,15
Nifty Growth Sectors 15,IDX:NIFTYGROWTHSECTORS15,ind_NiftyGrowth_Sectors15_Index.csv,ind_NiftyGrowth_Sectors15_Index.csv,yes,strategy,15
Nifty Healthcare Index,IDX:NIFTYHEALTHCAREINDEX,ind_niftyhealthcarelist.csv,ind_niftyhealthcarelist.csv,yes,sectoral,20
Nifty High Beta 50,IDX:NIFTYHIGHBETA50,nifty_High_Beta50_Index.csv,nifty_High_Beta50_Index.csv,yes,strategy,50
Nifty Hospitals,IDX:NIFTYHOSPITALS,ind_niftyHospitals_list.csv,ind_niftyHospitals_list.csv,no,sectoral,13
Nifty Housing,IDX:NIFTYHOUSING,ind_niftyhousing_list.csv,ind_niftyhousing_list.csv,no,thematic,50
