instrument_key,symbol,sector,industry,basic_industry
INE117A01022,ABB,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INE208C01025,AEGISLOG,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
INE885A01032,ARE&M,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE432A01017,AMBALALSA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE714B01016,ANDHRAPET,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE436A01026,ANSALAPI,Realty,Realty,"Residential, Commercial Projects"
INE096A01010,UTIQUE,Metals & Mining,Non - Ferrous Metals,Precious Metals
INE957C01019,ARUNAHTEL,Consumer Services,Leisure Services,Hotels & Resorts
INE032A01023,BOMDYEING,Textiles,Textiles & Apparels,Other Textile Products
INE363A01022,ASIANHOTNR,Consumer Services,Leisure Services,Hotels & Resorts
INE100A01010,ATUL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE447A01015,ATVPR,Capital Goods,Industrial Manufacturing,Industrial Products
INE193E01025,BAJAJELEC,Consumer Durables,Consumer Durables,Household Appliances
INE306A01021,BAJAJHIND,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE451A01017,FORCEMOT,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
INE296A01032,BAJFINANCE,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE119A01028,BALRAMCHIN,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE213C01025,BANCOINDIA,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE055A01016,ABREL,Realty,Realty,"Residential, Commercial Projects"
INE459A01010,BANARISUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE373A01013,BASF,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE176A01028,BATAINDIA,Consumer Durables,Consumer Durables,Footwear
INE258A01024,BEML,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
INE263A01024,BEL,Capital Goods,Aerospace & Defense,Aerospace & Defense
INE922A01025,BEPL,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE819C01011,BIHSPONG,Metals & Mining,Ferrous Metals,Sponge Iron
INE071A01013,BILVYAPAR,Financial Services,Finance,Holding Company
INE800A01015,BIRLACABLE,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
INE472A01039,BLUESTARCO,Consumer Durables,Consumer Durables,Household Appliances
INE131C01011,DISAQ,Capital Goods,Industrial Manufacturing,Industrial Products
INE418C01012,QUESTCAP,Financial Services,Capital Markets,Other Capital Market related Services
INE110A01019,BPL,Consumer Durables,Consumer Durables,Consumer Electronics
INE959C01023,OAL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE281A01026,CENTEXT,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
INE486A01021,CESC,Power,Power,Integrated Power Utilities
INE085A01013,CHAMBLFERT,Chemicals,Fertilizers & Agrochemicals,Fertilizers
INE302A01020,EXIDEIND,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE059A01026,CIPLA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE303A01010,DICIND,Chemicals,Chemicals & Petrochemicals,Printing Inks
INE007A01025,CRISIL,Financial Services,Finance,Other Financial Services
INE067A01029,CGPOWER,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INE016A01026,DABUR,Fast Moving Consumer Goods,Personal Products,Personal Care
INE495A01022,DALMIASUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE034A01011,ARVIND,Textiles,Textiles & Apparels,Garments & Apparels
INE257A01026,BHEL,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
